Sector,Stock_Name,Yahoo_Symbol
AUTO,Ashok Leyland Ltd.,ASHOKLEY.NS
AUTO,Bajaj Auto Ltd.,BAJAJ-AUTO.NS
AUTO,Bharat Forge Ltd.,BHARATFORG.NS
AUTO,Bosch Ltd.,BOSCHLTD.NS
AUTO,Eicher Motors Ltd.,EICHERMOT.NS
AUTO,Exide Industries Ltd.,EXIDEIND.NS
AUTO,Hero MotoCorp Ltd.,HEROMOTOCO.NS
AUTO,Mahindra & Mahindra Ltd.,M&M.NS
AUTO,Maruti Suzuki India Ltd.,MARUTI.NS
AUTO,Samvardhana Motherson International Ltd.,MOTHERSON.NS
AUTO,Sona BLW Precision Forgings Ltd.,SONACOMS.NS
AUTO,TVS Motor Company Ltd.,TVSMOTOR.NS
AUTO,Tata Motors Passenger Vehicles Ltd.,TMPV.NS
AUTO,Tube Investments of India Ltd.,TIINDIA.NS
AUTO,UNO Minda Ltd.,UNOMINDA.NS
BANK,AU Small Finance Bank Ltd.,AUBANK.NS
BANK,Axis Bank Ltd.,AXISBANK.NS
BANK,Bank of Baroda,BANKBARODA.NS
BANK,Canara Bank,CANBK.NS
BANK,Federal Bank Ltd.,FEDERALBNK.NS
BANK,HDFC Bank Ltd.,HDFCBANK.NS
BANK,ICICI Bank Ltd.,ICICIBANK.NS
BANK,IDFC First Bank Ltd.,IDFCFIRSTB.NS
BANK,IndusInd Bank Ltd.,INDUSINDBK.NS
BANK,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
BANK,Punjab National Bank,PNB.NS
BANK,State Bank of India,SBIN.NS
BANK,Union Bank of India,UNIONBANK.NS
BANK,Yes Bank Ltd.,YESBANK.NS
CAPITAL_GOODS,ABB India Ltd.,ABB.NS
CAPITAL_GOODS,AIA Engineering Ltd.,AIAENG.NS
CAPITAL_GOODS,APL Apollo Tubes Ltd.,APLAPOLLO.NS
CAPITAL_GOODS,Apar Industries Ltd.,APARINDS.NS
CAPITAL_GOODS,Ashok Leyland Ltd.,ASHOKLEY.NS
CAPITAL_GOODS,Astra Microwave Products Ltd.,ASTRAMICRO.NS
CAPITAL_GOODS,Astral Ltd.,ASTRAL.NS
CAPITAL_GOODS,BEML Ltd.,BEML.NS
CAPITAL_GOODS,Bharat Dynamics Ltd.,BDL.NS
CAPITAL_GOODS,Bharat Electronics Ltd.,BEL.NS
CAPITAL_GOODS,Bharat Heavy Electricals Ltd.,BHEL.NS
CAPITAL_GOODS,CG Power and Industrial Solutions Ltd.,CGPOWER.NS
CAPITAL_GOODS,Carborundum Universal Ltd.,CARBORUNIV.NS
CAPITAL_GOODS,Cochin Shipyard Ltd.,COCHINSHIP.NS
CAPITAL_GOODS,Cummins India Ltd.,CUMMINSIND.NS
CAPITAL_GOODS,Data Patterns (India) Ltd.,DATAPATTNS.NS
CAPITAL_GOODS,Elgi Equipments Ltd.,ELGIEQUIP.NS
CAPITAL_GOODS,Escorts Kubota Ltd.,ESCORTS.NS
CAPITAL_GOODS,Finolex Cables Ltd.,FINCABLES.NS
CAPITAL_GOODS,Finolex Industries Ltd.,FINPIPE.NS
CAPITAL_GOODS,GE Vernova T&D India Ltd.,GVT&D.NS
CAPITAL_GOODS,Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS
CAPITAL_GOODS,HBL Engineering Ltd.,HBLENGINE.NS
CAPITAL_GOODS,Hindustan Aeronautics Ltd.,HAL.NS
CAPITAL_GOODS,Hitachi Energy India Ltd.,POWERINDIA.NS
CAPITAL_GOODS,Honeywell Automation India Ltd.,HONAUT.NS
CAPITAL_GOODS,Inox Wind Ltd.,INOXWIND.NS
CAPITAL_GOODS,Jyoti CNC Automation Ltd.,JYOTICNC.NS
CAPITAL_GOODS,KEI Industries Ltd.,KEI.NS
CAPITAL_GOODS,Kaynes Technology India Ltd.,KAYNES.NS
CAPITAL_GOODS,Kirloskar Oil Eng Ltd.,KIRLOSENG.NS
CAPITAL_GOODS,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS
CAPITAL_GOODS,PTC Industries Ltd.,PTCIL.NS
CAPITAL_GOODS,Polycab India Ltd.,POLYCAB.NS
CAPITAL_GOODS,Praj Industries Ltd.,PRAJIND.NS
CAPITAL_GOODS,Premier Energies Ltd.,PREMIERENE.NS
CAPITAL_GOODS,Siemens Energy India Ltd.,ENRIN.NS
CAPITAL_GOODS,Siemens Ltd.,SIEMENS.NS
CAPITAL_GOODS,Supreme Industries Ltd.,SUPREMEIND.NS
CAPITAL_GOODS,Suzlon Energy Ltd.,SUZLON.NS
CAPITAL_GOODS,TD Power Systems Ltd.,TDPOWERSYS.NS
CAPITAL_GOODS,Tata Motors Ltd.,TMCV.NS
CAPITAL_GOODS,Thermax Ltd.,THERMAX.NS
CAPITAL_GOODS,Timken India Ltd.,TIMKEN.NS
CAPITAL_GOODS,Titagarh Rail Systems Ltd.,TITAGARH.NS
CAPITAL_GOODS,Triveni Turbine Ltd.,TRITURBINE.NS
CAPITAL_GOODS,Usha Martin Ltd.,USHAMART.NS
CAPITAL_GOODS,Voltamp Transformers Ltd,VOLTAMP.NS
CAPITAL_GOODS,Waaree Energies Ltd.,WAAREEENER.NS
CAPITAL_GOODS,Welspun Corp Ltd.,WELCORP.NS
CEMENT,ACC Ltd.,ACC.NS
CEMENT,Ambuja Cements Ltd.,AMBUJACEM.NS
CEMENT,Birla Corporation Ltd.,BIRLACORPN.NS
CEMENT,Dalmia Bharat Ltd.,DALBHARAT.NS
CEMENT,Grasim Industries Ltd.,GRASIM.NS
CEMENT,India Cements Ltd.,INDIACEM.NS
CEMENT,J.K. Cement Ltd.,JKCEMENT.NS
CEMENT,JK Lakshmi Cement Ltd.,JKLAKSHMI.NS
CEMENT,JSW Cement Ltd.,JSWCEMENT.NS
CEMENT,Nuvoco Vistas Corporation Ltd.,NUVOCO.NS
CEMENT,Orient Cement Ltd.,ORIENTCEM.NS
CEMENT,Prism Johnson Ltd.,PRSMJOHNSN.NS
CEMENT,Shree Cement Ltd.,SHREECEM.NS
CEMENT,Star Cement Ltd.,STARCEMENT.NS
CEMENT,The Ramco Cements Ltd.,RAMCOCEM.NS
CEMENT,UltraTech Cement Ltd.,ULTRACEMCO.NS
CHEMICALS,Aarti Industries Ltd.,AARTIIND.NS
CHEMICALS,Atul Ltd.,ATUL.NS
CHEMICALS,Bayer Cropscience Ltd.,BAYERCROP.NS
CHEMICALS,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS
CHEMICALS,Coromandel International Ltd.,COROMANDEL.NS
CHEMICALS,Deepak Nitrite Ltd.,DEEPAKNTR.NS
CHEMICALS,E.I.D. Parry (India) Ltd.,EIDPARRY.NS
